delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
312472,81571,7918,8984,2956,5538,6844,1185,forward
18915,26571,23125,5017,12643,15181,16745286,6629,forward
48268,16760210,5128,25598,28575,8910,8633,6774,forward
16773355,9807,3848,1995,3947,4299,5098,1560,forward
153043,16771687,8107,15677,9234,9256,7905,4438,forward
31276,11187,5583,13661,11580,31492,7654,2772,forward
16754471,16752576,16996,10945,11768,7459,11210,2909,forward
14686,16770068,19322,16745288,6797,9492,15939,8129,forward
10611,9875,11869,15506,4733,21507,5490,1990,forward
16750098,30317,13904,16750629,8518,12725,9449,8039,forward
267080,135576,29364,17177,6719,8751,9606,9171,forward
54664,16746757,18222,25899,16754023,12217,12339,5775,forward
456824,16745145,12411,68145,9891,14879,16898,7563,forward
73389,25137,11584,16763975,12294,17452,7579,6245,forward
63884,52654,20829,11718,20524,19493,9652,2307,forward
16770390,30314,6426,22474,4635,10933,9307,9369,forward
1837243,179144,28111,16752384,16751201,17173,17734,6214,forward
150464,16757806,3236,29773,4704,9729,10760,4297,forward
85363,16772383,2037,29240,6577,9928,9707,6928,forward
483684,16753821,8639,16751713,4848,20171,14279,8584,forward
16746043,15079,8842,15551,6154,17218,7198,5625,forward
20671,28113,7243,16752174,7018,13623,10556,6628,forward
4479,75865,5535,14118,9075,17842,16746481,10323,forward
16762177,16758633,9034,10547,13355,24352,17137,3728,forward
571555,128442,29662,18138,12365,13398,12942,7607,forward
17608,16029,4088,24297,3723,9935,2169,3897,forward
860626,419692,73834,39050,16747224,16762909,16771371,16503,forward
1584496,506551,423679,757451,50999,570329,16752030,16746327,forward
283038,24595,3901,1896,493,982,464,16777176,forward
138608,205297,14011,6163,6185,8058,3525,4280,forward
16762977,8265,10592,1248,1192,1030,461,270,forward
286203,18691,18916,14138,5583,3027,3500,1807,forward
443216,54977,68433,16762917,21580,16745781,31641,12713,forward
271055,30688,30818,16767845,16745765,16858,18080,7922,forward
86222,31942,10987,20993,5870,18813,14941,6190,forward
16749748,7176,8746,12536,5250,5407,7235,6816,forward
473177,16768924,6556,12328,11301,11968,22911,12100,forward
68268,9753,2083,3908,7508,2948,1705,3676,forward
251167,16776136,8513,23680,24175,17132,19182,7654,forward
335971,16759945,20332,23137,10340,20599,10130,6686,forward
26725,10079,10776,17364,15279,14368,12761,6017,forward
630684,397175,10796,14297,16747661,14032,14825,9188,forward
16746736,16751759,5643,19612,15954,10595,13319,3183,forward
81368,16759622,18874,12801,27647,19905,7582,7917,forward
16754544,16751576,6892,3958,5836,3441,3722,2451,forward
16755146,67231,20113,29183,5546,31098,17109,7540,forward
820483,16763373,7791,17721,9457,15924,21371,7974,forward
16764852,51869,8339,16558,16364,10635,11043,4466,forward
219620,10159,1129,6178,5282,4136,4731,3109,forward
1080178,488744,12263,13416,16744530,16757472,91727,26365,forward
461502,234534,16760391,16724,12037,15986,26361,16239,forward
699069,623253,44566,16746060,16757193,31575,78737,82203,forward
1530749,16775826,16776332,11515,23471,16772905,23498,20679,forward
1289573,208185,24906,16758731,16768048,15947,20309,4959,forward
16749078,2151,7340,16748772,14196,12056,11294,4663,forward
475457,3956,8106,5437,3644,3395,4020,2133,forward
818514,30784,2699,16757323,12982,16745714,14328,12467,forward
19152,33554,12546,6005,13308,10049,9359,5315,forward
861656,93530,11515,425,3677,8601,2377,2598,forward
4336,70035,16750829,16763521,17301,15608,8998,3503,forward
402370,16769893,657,5216,6937,4434,1994,4761,forward
16757453,81734,8198,27554,13302,24261,5542,4225,forward
195469,31049,17314,28122,24044,19989,16932,4261,forward
108329,66921,5619,16759285,16959,14231,6719,6046,forward
16758225,10094,696,12343,9431,22031,9396,10562,forward
16757206,25649,13115,16754425,8600,16752004,12096,6885,forward
252812,225657,24622,16749981,21081,26637,27969,7703,forward
81887,19000,24295,26346,25685,16759574,16749061,13014,forward
16777014,4310,7143,16761145,17392,12125,16014,23930,forward
137463,16745293,2315,6272,4794,6254,5969,1168,forward
788463,219318,23089,21988,16261,18666,29878,5719,forward
129017,16744923,2680,866,2252,1106,629,518,forward
99864,16760310,8809,12901,6069,6225,1673,697,forward
614447,212791,20183,9317,16745503,22831,14710,6256,forward
592931,92808,5192,14133,6376,11024,4161,6528,forward
20825,17042,3505,16750052,8983,16763621,18873,5103,forward
170355,16749823,16772988,22572,23143,10104,6803,3572,forward
16751627,15942,21926,16753816,5680,10503,5420,4726,forward
31567,9670,3936,16748369,19451,12867,14508,3601,forward
17739,11038,11262,19908,8622,7322,17158,6443,forward
46708,16759442,3285,24902,18504,21820,12648,12618,forward
16755290,16749343,29695,17389,6886,17800,16750116,4335,forward
16283,21708,6817,16745118,13259,18368,6249,3214,forward
1855019,33748,8393,16746546,32184,5603,6299,9130,forward
112275,16774708,16747567,28499,9467,26685,14729,5015,forward
10711,13832,11117,23812,11475,4953,12356,8252,forward
278414,16764741,31623,7721,21029,30783,6498,19579,forward
75046,15710,4153,10292,1994,4979,3313,941,forward
53833,75629,16160,27903,13274,22892,21385,3587,forward
27204,162244,2795,16744352,16145,14561,5651,6160,forward
201871,140344,8686,19096,11626,18442,15433,4699,forward
30319,18734,8164,16760145,14495,9580,7637,5320,forward
90161,16753628,28320,22010,10430,15939,7931,6033,forward
16759470,15940,13018,28753,10385,9588,16631,10500,forward
36536,16768346,27713,15399,19450,12209,12735,6306,forward
16761566,95819,12563,24420,16830,12639,10463,12929,forward
23342,16755445,478,32387,8405,14998,9424,4845,forward
27867,16760059,18776,47424,21373,7085,5294,2165,forward
12954,16942,15453,16744860,5975,9190,9158,5207,forward
72707,16763315,5558,26418,1888,3902,4901,1559,forward
2106050,66076,24932,16889,11691,19448,11697,5501,forward
1468435,11993,8477,5957,3817,2234,3136,579,forward
95139,6374,2263,9623,1572,2399,3416,702,forward
103645,196858,16759292,21784,23580,7515,12598,3544,forward
176798,387971,7576,23075,14205,20248,26146,9469,forward
3446,16775285,9202,27476,22253,18662,18761,10845,forward
121875,16758508,987,18284,2024,3071,3075,2250,forward
29298,6146,14590,16751600,14192,13114,17043,2624,forward
1477076,155115,14410,9068,9021,5243,5177,4672,forward
273393,20252,15619,3277,3211,6545,5337,4337,forward
554775,45539,23131,16754850,9644,16149,19787,10609,forward
201439,66487,3281,28180,7696,10097,29099,6748,forward
65558,21349,3458,22796,1719,11999,5211,12399,forward
16769299,13057,3874,16749302,5854,8077,4041,11157,forward
16751726,46516,6478,29992,16758063,7250,2257,5048,forward
90953,22809,30432,23149,13890,13911,9750,2128,forward
16761569,20414,15315,16766515,10268,11987,16753992,9620,forward
16771240,24001,5168,16748862,19009,28918,9315,7068,forward
45830,16774173,19892,9929,18538,13638,12444,11141,forward
100348,92829,27072,23967,11268,16749067,19297,11727,forward
19730,15555,8180,16749221,3460,13702,5764,16720,forward
181821,60051,16762846,7025,6715,22887,17313,7416,forward
32640,16758824,9621,4212,20577,4517,5757,8110,forward
14891,13221,29830,9750,11625,9852,6705,5396,forward
16753610,16751886,68421,16767877,16747317,10587,12878,3894,forward
19799,7377,710,16761807,11768,16898,5660,5173,forward
1242080,101190,16772994,16754164,16759231,31394,9293,6897,forward
16767937,93537,16746173,79700,17055,25998,16747389,15293,forward
121254,158120,12197,82409,25582,14665,18017,11902,forward
66225,16769833,2391,16747619,14909,12247,27994,4929,forward
200503,16746137,18841,31425,19392,12222,22736,10441,forward
774768,461849,70425,26313,30387,16758932,20671,9697,forward
191118,11959,9775,6805,1002,2652,4443,1194,forward
257124,88443,19362,10720,25480,14248,18015,2567,forward
59102,23317,5667,5111,3531,3511,5271,1018,forward
