delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
16762004,16751007,6727,20578,4658,6158,4592,2650,down
16754423,16761577,24199,16752688,17076,28444,13646,5968,down
16753131,12031,25678,8055,16579,9796,6932,1913,down
23508,4561,21251,26817,4756,15137,3086,1108,down
74328,16767773,27770,12775,19518,15608,6534,6161,down
401176,16773624,12803,9674,9873,12676,8146,7828,down
85047,16744527,4115,2419,8349,3798,7831,2753,down
16766024,16750421,15588,11407,20708,14834,5660,3827,down
16751021,30386,16763808,18408,6313,7170,3054,1815,down
16746940,16762782,8911,18095,6959,6506,7008,2771,down
28174,16763955,3462,22032,10688,13261,3611,1774,down
16764010,30336,21322,16748531,11961,4483,8430,1388,down
20759,27626,10989,19356,5593,9594,7137,6041,down
16770218,11809,7150,13116,16145,7014,3688,1424,down
71888,43005,16768834,16267,30022,13700,14428,6955,down
16763760,16765016,16757044,17131,10818,12839,5856,1967,down
21952,15686,8482,2963,19144,5584,3870,3261,down
14205,16748376,29210,16745247,13264,7615,3246,3168,down
68769,24986,29197,22294,3628,8350,3986,1354,down
28870,12102,16747167,31626,8196,14273,5951,5372,down
12963,20216,26917,13693,7192,20422,2302,3986,down
22427,27286,1496,14343,3742,6408,5684,1474,down
16756400,85248,12034,16744621,9336,16866,4613,1196,down
24328,14659,45077,4612,15145,12890,6527,2341,down
16747115,16753435,335,11538,3223,11801,4892,1941,down
16755422,20210,14226,16751505,5400,7778,3126,4487,down
81415,31662,25588,16769630,10177,8575,2402,2086,down
393185,161424,42462,16750499,14684,11806,3625,2236,down
228566,16753747,5595,1743,17172,1488,794,277,down
5733,14995,16187,16761704,10017,10778,1265,1982,down
16749803,9594,13075,7695,7196,7173,5019,2509,down
595955,289617,84205,16776305,9952,21927,13635,8096,down
16744824,28070,8053,8018,13522,9107,5498,3026,down
16773757,10819,21953,30391,9364,6815,3605,2136,down
16773442,16311,11687,13701,5971,17450,2693,2635,down
27540,8746,10994,11818,7322,4646,1330,721,down
17372,16747287,7801,5435,8136,7358,2390,2498,down
29647,77685,13592,69499,3636,13067,2304,1882,down
16775563,28987,15409,8468,4425,5254,4440,2042,down
56706,28420,7079,2326,2628,2857,786,185,down
16773508,16765416,5496,23877,3831,13839,2417,868,down
23473,26159,5876,5833,9522,8164,4530,552,down
9100,28491,7233,12377,15070,13314,4409,2495,down
16763572,16761753,2256,4896,9932,7161,6134,898,down
8437,15461,1980,16746206,4570,17121,4568,1930,down
23099,18535,7433,12419,6398,10583,6377,2698,down
21796,16754431,18583,14337,23387,4781,4630,2145,down
175378,16754089,69229,19242,7637,9348,2062,2294,down
87131,8703,8187,10902,4201,7404,3338,1660,down
25936,14520,13896,9251,8729,6927,1705,5538,down
26484,14183,6982,19463,8039,9232,3710,1272,down
85500,18941,10361,6145,3486,1921,1228,135,down
352950,16746491,1259,2794,1858,1518,2416,480,down
16770099,87203,11049,6974,17631,27554,23729,5158,down
259604,16754577,10314,3187,2602,3574,3881,3154,down
528338,10198,1832,15335,3771,2137,1602,524,down
24205,16747098,9766,20861,2728,9847,10042,2144,down
24982,10989,16686,22650,15273,17728,5482,1461,down
77492,20961,6675,16772368,7101,7416,4830,714,down
28685,23941,16753732,22535,5352,7985,5736,3316,down
16749507,22611,3880,7499,7220,6297,3941,986,down
127669,72671,25036,16752672,17819,15260,3484,2831,down
28737,11854,16753798,71482,1525,9314,4259,5477,down
16762183,16775530,16752955,17122,5186,9441,3248,4643,down
16775640,16750151,16750039,16921,14579,10271,2413,3070,down
30971,16752052,16745537,25171,9179,13384,7429,2533,down
16751222,18040,16747441,13209,15755,12353,11628,1297,down
164152,16762900,16746875,11837,6372,7513,1374,1412,down
16747725,16757696,16744712,12611,4991,11321,7505,2828,down
8501,16758945,23353,16755555,9651,6629,8103,2410,down
16750694,29959,32297,16671,4324,5334,2413,2301,down
15262,14134,23980,31003,3270,7508,4163,1942,down
16771728,17006,46296,13016,11793,8689,13441,4833,down
16749204,21513,13590,16434,10711,27798,8368,2026,down
